Tarawa,1.3382,173.0176,Kiribati,KI,,primary,28802,22534
Teaoraereke,1.3333,173.0000,Kiribati,KI,,,6073,6073
Korobu,1.3426,173.0287,Kiribati,KI,,,,
Bairiki,1.3289,172.9769,Kiribati,KI,,,,
Eita,1.3606,173.0745,Kiribati,KI,,,,
Antenon,1.3392,173.0235,Kiribati,KI,,,,
Taborio,1.3562,173.0532,Kiribati,KI,,,,
Bangantebure,1.3649,173.0975,Kiribati,KI,,,,
Antebuka,1.3414,173.0267,Kiribati,KI,,,,
Antemai,1.3389,173.0267,Kiribati,KI,,,,
Abarao,1.3646,173.0887,Kiribati,KI,,,,
Bikenibeu,1.3641,173.1182,Kiribati,KI,,,,
Tangintebu,1.3577,173.0668,Kiribati,KI,,,,
Bonriki,1.3810,173.1398,Kiribati,KI,,,,
Ambo,1.3520,173.0421,Kiribati,KI,,,,
London,1.9847,-157.4749,Kiribati,KI,,,,
Nuotaea,1.8880,172.8132,Kiribati,KI,,,,
Buota,1.3893,173.1322,Kiribati,KI,,,,
Temaiku,1.3658,173.1625,Kiribati,KI,,,,
Rawannawi,2.0517,173.2628,Kiribati,KI,,,,
Tanaea,1.3882,173.1340,Kiribati,KI,,,,
Tabiteuea,1.4242,173.0989,Kiribati,KI,,,,
Notoue,1.5156,173.0077,Kiribati,KI,,,,
Nabeina,1.4361,173.0780,Kiribati,KI,,,,
Nanibaba,-0.6667,174.4500,Kiribati,KI,,,,
Temaraia,-0.6667,174.4500,Kiribati,KI,,,,
Abaokoro,1.4974,173.0153,Kiribati,KI,,,,
Bakaka,-2.4938,175.9739,Kiribati,KI,,,,
Tabonibara,1.4796,173.0301,Kiribati,KI,,,,
Kuria,1.8313,173.0120,Kiribati,KI,,,,
Borotiam,1.9000,172.9667,Kiribati,KI,,,,
Temotu,2.0355,173.2582,Kiribati,KI,,,,
Abatao,1.3999,173.1189,Kiribati,KI,,,,
Taborio,1.5199,173.0033,Kiribati,KI,,,,
Taburao,1.8209,173.0211,Kiribati,KI,,,,
Buoata,2.0154,173.2601,Kiribati,KI,,,,
Tekuanga,2.0300,173.2853,Kiribati,KI,,,,
Tebikerai,1.0075,173.0033,Kiribati,KI,,,,
Tabwiroa,1.8056,173.0372,Kiribati,KI,,,,
Aonobuaka,1.8833,172.9833,Kiribati,KI,,,,
Tetabuki,1.9999,173.2541,Kiribati,KI,,,,
Tekarakan,1.9936,173.2521,Kiribati,KI,,,,
Takarano,1.9500,172.9167,Kiribati,KI,,,,
Tuarabu,1.7981,173.0389,Kiribati,KI,,,,
Tanimaiaki,1.7559,173.0421,Kiribati,KI,,,,
Tebunginako,1.9167,172.9500,Kiribati,KI,,,,
Kainaba,1.4542,173.0607,Kiribati,KI,,,,
Antakana,3.3174,172.9763,Kiribati,KI,,,,
Rongorongo,-1.3333,176.0000,Kiribati,KI,,,,
Tabiang,-1.3000,175.9833,Kiribati,KI,,,,
Aoniman,-1.3000,175.9833,Kiribati,KI,,,,
Riaria,1.7833,173.0500,Kiribati,KI,,,,
Tekaranga,1.0017,173.0294,Kiribati,KI,,,,
Tematantongo,1.0006,173.0333,Kiribati,KI,,,,
Nansaba,-1.3167,176.0000,Kiribati,KI,,,,
Buota,1.7838,173.0446,Kiribati,KI,,,,
Baretoa,0.4500,173.9000,Kiribati,KI,,,,
Tebanga,1.7154,173.0063,Kiribati,KI,,,,
Marenanuka,1.4882,173.0261,Kiribati,KI,,,,
Banana Village,1.9837,-157.3651,Kiribati,KI,,,,
Bainona,1.9863,173.2980,Kiribati,KI,,,,
Taratai,1.5485,172.9927,Kiribati,KI,,,,
Poland,1.8644,-157.5519,Kiribati,KI,,,,
Ijaki,-1.8942,175.6151,Kiribati,KI,,,,
Antai,2.0379,173.2820,Kiribati,KI,,,,
Tabontebike,1.7253,172.9901,Kiribati,KI,,,,
Buraitan,-1.8262,175.5561,Kiribati,KI,,,,
Nuka,-1.3500,176.0000,Kiribati,KI,,,,
Teteirio,-1.3500,176.0000,Kiribati,KI,,,,
Norauea,1.9998,173.2923,Kiribati,KI,,,,
Nikutoru,-1.4833,175.0667,Kiribati,KI,,,,
Buariki,-1.4833,175.0667,Kiribati,KI,,,,
Tabonuea,3.1000,172.8167,Kiribati,KI,,,,
Tokamauea,0.4910,173.8316,Kiribati,KI,,,,
Abatiku,0.4231,173.9119,Kiribati,KI,,,,
Tabutoa,-1.3333,176.4333,Kiribati,KI,,,,
Muribenua,-1.3167,176.4167,Kiribati,KI,,,,
Nikumanu,-1.3833,176.4667,Kiribati,KI,,,,
Terokea,1.9827,173.3007,Kiribati,KI,,,,
Manounou,4.7000,-160.4000,Kiribati,KI,,,,
Tekatirirake,0.4667,173.8667,Kiribati,KI,,,,
Taku,-1.5167,175.0667,Kiribati,KI,,,,
Roreti,-2.6500,176.8333,Kiribati,KI,,,,
