Road Town,18.4167,-64.6167,"Virgin Islands, British",VG,,primary,,
Recovery,18.3886,-64.6735,"Virgin Islands, British",VG,,,,
Georges Hollow,18.4218,-64.6254,"Virgin Islands, British",VG,,,,
West End,18.3880,-64.6978,"Virgin Islands, British",VG,,,,
Hannah,18.4014,-64.6371,"Virgin Islands, British",VG,,,,
Martins Joes Hill,18.4274,-64.6392,"Virgin Islands, British",VG,,,,
Nibbs,18.4143,-64.6355,"Virgin Islands, British",VG,,,,
Rogues Bay,18.4464,-64.6049,"Virgin Islands, British",VG,,,,
Steep Hill,18.4175,-64.6271,"Virgin Islands, British",VG,,,,
Long Swamp,18.4382,-64.5713,"Virgin Islands, British",VG,,,,
Shannon,18.4207,-64.6513,"Virgin Islands, British",VG,,,,
Brandywine Bay,18.4181,-64.5844,"Virgin Islands, British",VG,,,,
Hodge,18.4279,-64.6557,"Virgin Islands, British",VG,,,,
Hawks Nest,18.4564,-64.5607,"Virgin Islands, British",VG,,,,
Hodge’s Creek,18.4260,-64.5690,"Virgin Islands, British",VG,,,,
The Mill,18.4597,-64.5354,"Virgin Islands, British",VG,,,,
Anderson,18.4404,-64.6440,"Virgin Islands, British",VG,,,,
Lower Hope,18.4376,-64.5904,"Virgin Islands, British",VG,,,,
McIntosh,18.4320,-64.6533,"Virgin Islands, British",VG,,,,
Little Carrot Bay,18.4069,-64.6739,"Virgin Islands, British",VG,,,,
New Bush,18.4328,-64.6377,"Virgin Islands, British",VG,,,,
Diamond,18.4315,-64.6344,"Virgin Islands, British",VG,,,,
Henley,18.4396,-64.6329,"Virgin Islands, British",VG,,,,
Cane Garden Bay,18.4167,-64.6500,"Virgin Islands, British",VG,,,,
Apple Bay,18.4021,-64.6768,"Virgin Islands, British",VG,,,,
Paraquita Bay,18.4259,-64.5818,"Virgin Islands, British",VG,,,,
Long Bay,18.3966,-64.6861,"Virgin Islands, British",VG,,,,
Edney,18.4105,-64.6512,"Virgin Islands, British",VG,,,,
Duffs Bottom,18.4085,-64.6245,"Virgin Islands, British",VG,,,,
Daseys,18.3869,-64.6729,"Virgin Islands, British",VG,,,,
Mount Healthy,18.4485,-64.6429,"Virgin Islands, British",VG,,,,
Leonards Joes Hill,18.4288,-64.6406,"Virgin Islands, British",VG,,,,
Boway,18.3850,-64.6731,"Virgin Islands, British",VG,,,,
Great Mountain,18.4388,-64.6294,"Virgin Islands, British",VG,,,,
Maya Cove,18.4167,-64.5667,"Virgin Islands, British",VG,,,,
Thomas Land,18.4434,-64.5548,"Virgin Islands, British",VG,,,,
Lambert,18.4515,-64.5751,"Virgin Islands, British",VG,,,,
Little Apple Bay,18.3952,-64.6819,"Virgin Islands, British",VG,,,,
Pleasant Valley,18.4042,-64.6413,"Virgin Islands, British",VG,,,,
Blyden,18.4206,-64.6299,"Virgin Islands, British",VG,,,,
Ross,18.4334,-64.6571,"Virgin Islands, British",VG,,,,
Doty,18.4141,-64.6462,"Virgin Islands, British",VG,,,,
Cooten Bay,18.4465,-64.5999,"Virgin Islands, British",VG,,,,
Kingstown,18.4167,-64.5964,"Virgin Islands, British",VG,,,,
Belmont,18.3923,-64.7009,"Virgin Islands, British",VG,,,,
Freshwater Pond,18.3894,-64.6762,"Virgin Islands, British",VG,,,,
Fish Bay,18.4205,-64.5996,"Virgin Islands, British",VG,,,,
Green Bank,18.4316,-64.6435,"Virgin Islands, British",VG,,,,
Pockwood Pond,18.3945,-64.6526,"Virgin Islands, British",VG,,,,
Balsom Ghut,18.4541,-64.5682,"Virgin Islands, British",VG,,,,
Cocodella,18.4191,-64.6298,"Virgin Islands, British",VG,,,,
Wesley Will,18.4428,-64.6044,"Virgin Islands, British",VG,,,,
